#id;moral;MF1;Confidence1;MF2;Confidence2
arg33288;y;care;5;;
arg33298;y;loyalty;6;;
arg33319;n;;0;;
arg33341;y;care;2;loyalty;2
arg33261;y;authority;1;;
arg33272;y;care;1;;
arg33280;y;care;1;;
arg33282;y;care;1;;
arg33284;y;care;1;;
arg33289;y;purity;5;;
arg33293;y;None;2;;
arg33323;y;None;1;;
arg33339;y;care;1;;
arg33342;y;care;4;;
arg108959;n;;0;;
arg108968;n;;3;;
arg118518;n;;0;;
arg118660;n;;4;;
arg122478;n;;3;;
arg126375;n;;3;;
arg132199;n;;1;;
arg145468;n;;1;;
arg155750;n;;9;;
arg649666;n;;6;;
arg106091;n;;5;;
arg106426;n;;0;;
arg116888;n;;1;;
arg123380;n;;3;;
arg126374;n;;4;;
arg126378;n;;3;;
arg132483;n;;1;;
arg260216;n;;3;;
arg596217;n;;6;;
arg623493;n;;5;;
arg35591;y;care;2;;
arg35616;n;;0;;
arg35622;y;None;0;;
arg35632;n;;0;;
arg35669;y;care;0;;
arg35705;y;authority;0;;
arg35706;n;;0;;
arg35718;n;;0;;
arg35748;y;care;5;;
arg35758;y;authority;1;;
arg35584;n;;0;;
arg35615;y;None;0;;
arg35619;y;care;4;;
arg35635;y;None;0;;
arg35650;y;care;0;;
arg35676;y;care;6;;
arg35698;y;care;0;;
arg35700;y;care;3;authority;0
arg35720;n;;2;;
arg35726;n;;0;;
13989;n;;2;;
13993;n;;0;;
13998;n;;0;;
14000;n;;0;;
14002;y;None;0;;
14003;y;care;6;;
14007;y;purity;2;;
37675;n;;0;;
54763;y;care;5;;
73596;y;care;0;;
1191878965;y;None;1;;
2137504198;y;care;4;fairness;2
27868;y;care;;;
29278;y;care;9;;
29393;y;fairness;2;;
39342;y;care;1;;
54187;y;care;4;loyalty;5
71821;y;care;0;;
71943;y;care;3;;
79734;n;;5;;
arg198954;y;None;1;;
arg199159;y;authority;1;;
arg199549;y;None;0;;
arg200706;y;care;1;;
arg231770;y;None;0;;
arg238468;y;loyalty;1;;
arg238471;y;loyalty;1;;
arg238473;y;None;2;;
arg251309;y;care;2;;
arg336277;y;None;0;;
arg198376;y;fairness;1;;
arg198417;y;care;2;;
arg200133;n;;0;;
arg203869;y;fairness;0;;
arg203922;y;fairness;3;;
arg212151;y;care;1;;
arg234411;y;fairness;3;;
arg542561;y;fairness;1;;
arg561672;y;fairness;2;;
arg660921;y;loyalty;4;;
arg33060;y;care;6;;
arg33075;n;;1;;
arg33082;y;care;2;;
arg33089;y;care;8;;
arg33099;y;care;5;;
arg33119;n;;1;;
arg33129;y;care;2;;
arg33135;y;loyalty;0;;
arg33141;n;;0;;
arg33162;y;loyalty;3;;
arg33069;y;care;0;;
arg33070;y;care;1;;
arg33086;y;purity;1;;
arg33105;n;;0;;
arg33115;y;purity;0;;
arg33118;y;care;1;;
arg33123;y;care;0;;
arg33126;n;;0;;
arg33127;y;care;3;;
arg33143;y;loyalty;6;;
1633;y;None;1;;
1641;y;fairness;5;;
1661;y;None;1;;
1683;n;;0;;
28415;y;None;1;;
28498;y;care;4;;
37929;y;None;0;;
63512;n;;0;;
69016;y;None;0;;
74039;y;authority;0;;
13259;n;;0;;
13260;y;fairness;2;;
13270;y;fairness;0;;
13275;y;fairness;0;;
13279;n;;1;;
30319;y;fairness;1;;
54474;y;fairness;0;;
70668;y;care;5;fairness;0
75146;y;loyalty;0;;
76937;y;care;0;;
arg110967;y;None;0;;
arg202607;n;;4;;
arg203471;y;None;0;;
arg216634;y;None;0;;
arg245105;n;;2;;
arg271353;y;care;0;;
arg312577;n;;4;;
arg39274;n;;1;;
arg485419;y;care;9;;
arg54267;n;;1;;
arg107445;y;care;8;;
arg107456;y;care;3;;
arg148559;y;care;8;;
arg213068;y;care;6;;
arg230691;y;None;0;;
arg260899;n;;0;;
arg345997;y;care;7;;
arg37974;y;care;7;;
arg54258;y;care;6;;
arg7751;y;care;3;;
arg135637;n;;0;;
arg135648;n;;0;;
arg135702;n;;1;;
arg159445;y;None;0;;
arg213296;n;;1;;
arg213555;y;care;7;purity;2
arg223675;y;care;5;;
arg317750;n;;0;;
arg497712;n;;3;;
arg585714;y;care;4;;
arg363603;n;;3;;
arg376774;n;;3;;
arg399267;n;;5;;
arg399268;n;;2;;
arg399270;n;;3;;
arg470033;n;;0;;
arg479199;n;;1;;
arg525686;n;;6;;
arg561428;n;;1;;
arg585674;n;;3;;
arg167721;n;;0;;
arg168771;n;;5;;
arg168778;n;;5;;
arg168803;n;;7;;
arg168790;y;care;2;;
arg168795;n;;0;;
arg168824;n;;4;;
arg168835;n;;1;;
arg168836;y;authority;0;;
arg580842;n;;1;;
arg168774;n;;4;;
arg168779;y;fairness;6;;
arg168780;n;;0;;
arg168801;n;;0;;
arg168804;n;;0;;
arg168807;n;;0;;
arg168818;n;;0;;
arg168822;y;None;0;;
arg168830;n;;2;;
arg168834;y;care;5;;
