#id;moral;MF1;Confidence1;MF2;Confidence2;MF3;Confidence3
arg33099;y;care;7;;;;
arg33119;y;care;6;;;;
arg33129;y;care;7;;;;
arg33135;y;care;7;;;;
arg33141;y;care;7;purity;6;;
arg33162;y;care;7;purity;6;;
arg33069;y;None;6;;;;
arg33070;y;care;6;;;;
arg33086;y;care;6;;;;
arg33105;y;care;3;;;;
arg33115;y;care;3;;;;
arg33118;y;care;3;;;;
arg33123;y;purity;5;;;;
arg33126;y;care;7;;;;
arg33127;y;care;6;;;;
arg33143;y;loyalty;7;;;;
1633;y;care;7;;;;
1641;y;care;6;fairness;7;;
1661;y;authority;5;;;;
1683;y;fairness;5;;;;
28415;y;care;6;;;;
28498;y;care;6;fairness;7;;
37929;y;care;5;fairness;6;;
63512;y;care;9;;;;
69016;y;fairness;8;;;;
74039;y;fairness;8;;;;
13259;y;fairness;8;;;;
13260;y;fairness;8;;;;
13270;y;care;6;fairness;7;;
13275;y;authority;7;;;;
13279;y;care;5;;;;
30319;y;fairness;8;care;7;;
54474;y;care;6;fairness;7;;
70668;y;care;8;fairness;7;;
75146;y;care;8;;;;
76937;y;care;8;;;;
arg110967;y;purity;3;;;;
arg202607;n;;;;;;
arg203471;n;;;;;;
arg216634;n;;;;;;
arg245105;y;authority;;;;;
arg271353;y;care;5;purity;3;;
arg312577;n;;;;;;
arg39274;y;care;3;;;;
arg485419;y;care;7;;;;
arg54267;y;purity;5;;;;
arg107445;y;care;5;;;;
arg107456;y;care;6;;;;
arg148559;y;care;6;;;;
arg213068;y;care;6;;;;
arg230691;y;care;6;;;;
arg260899;y;None;5;;;;
arg345997;y;care;6;;;;
arg37974;y;care;7;;;;
arg54258;y;care;;;;;
arg7751;y;purity;4;;;;
arg135637;n;;6;;;;
arg135648;n;;6;;;;
arg135702;n;;6;;;;
arg159445;y;None;5;;;;
arg213296;n;;6;;;;
arg213555;y;purity;9;;;;
arg223675;y;care;7;;;;
arg317750;n;;4;;;;
arg497712;n;;7;;;;
arg585714;n;;6;;;;
arg363603;n;;5;;;;
arg376774;n;;5;;;;
arg399267;n;;5;;;;
arg399268;n;;5;;;;
arg399270;y;care;5;;;;
arg470033;n;;6;;;;
arg479199;n;;6;;;;
arg525686;n;;7;;;;
arg561428;n;;7;;;;
arg585674;n;;6;;;;
arg167721;y;None;6;;;;
arg168771;n;;7;;;;
arg168778;n;;6;;;;
arg168803;n;;8;;;;
arg168790;y;care;7;;;;
arg168795;y;care;6;;;;
arg168824;n;;7;;;;
arg168835;y;authority;6;;;;
arg168836;y;authority;6;;;;
arg580842;y;None;6;;;;
arg168774;n;;;;;;
arg168779;y;fairness;6;care;7;;
arg168780;y;care;6;;;;
arg168801;y;care;6;;;;
arg168804;y;care;6;purity;5;;
arg168807;y;care;7;;;;
arg168818;y;authority;7;loyalty;5;;
arg168822;y;care;6;;;;
arg168830;y;loyalty;5;care;5;;
arg168834;y;care;7;;;;
